0 INITIAL_MEETING
1 MORALE
2 HAPPY
3 UNHAPPY_ANNOYED
4 UNHAPPY_SERIOUS
5 UNHAPPY_BREAKING_POINT
6 LEADER
7 TIRED
8 BORED
9 BATTLE_CRY1
10 BATTLE_CRY2
11 BATTLE_CRY3
12 BATTLE_CRY4
13 BATTLE_CRY5
14 ATTACK1
15 ATTACK2
16 ATTACK3
17 ATTACK4
18 DAMAGE
19 DYING
20 HURT
21 AREA_FOREST
22 AREA_CITY
23 AREA_DUNGEON
24 AREA_DAY
25 AREA_NIGHT
26 SELECT_COMMON1
27 SELECT_COMMON2
28 SELECT_COMMON3
29 SELECT_COMMON4
30 SELECT_COMMON5
31 SELECT_COMMON6
32 SELECT_ACTION1
33 SELECT_ACTION2
34 SELECT_ACTION3
35 SELECT_ACTION4
36 SELECT_ACTION5
37 SELECT_ACTION6
38 SELECT_ACTION7
39 INTERACTION1
40 INTERACTION2
41 INTERACTION3
42 INTERACTION4
43 INTERACTION5
44 SELECT_RARE1
45 SELECT_RARE2
46 SELECT_RARE3
47 SELECT_RARE4
50 SPECIAL1
51 SPECIAL2
52 SPECIAL3
53 REACT_TO_DIE_GENERAL
54 REACT_TO_DIE_SPECIFIC
55 MISCELLANEOUS
55 RESPONSE_TO_COMPLIMENT1
56 RESPONSE_TO_COMPLIMENT2
57 RESPONSE_TO_COMPLIMENT3
58 RESPONSE_TO_INSULT1
59 RESPONSE_TO_INSULT2
60 RESPONSE_TO_INSULT3
61 DIALOG_HOSTILE
62 DIALOG_DEFAULT
65 CRITICAL_HIT
66 CRITICAL_MISS
67 TARGET_IMMUNE
68 INVENTORY_FULL
69 PICKED_POCKET
70 EXISTANCE1
71 EXISTANCE2
72 EXISTANCE3
73 EXISTANCE4
74 EXISTANCE5
70 HIDDEN_IN_SHADOWS
71 SPELL_DISRUPTED
72 SET_A_TRAP
75 BG2EE_SELECT_RARE1
76 BG2EE_SELECT_RARE2
77 BG2EE_SELECT_RARE3
78 BG2EE_SELECT_RARE4
79 BGEE_IWDEE_ACTION4
80 BGEE_IWDEE_ACTION5
81 BGEE_IWDEE_ACTION6
82 BGEE_IWDEE_ACTION7
83 EE_MORALE2
84 EE_LEADER2
85 EE_TIRED2
86 EE_BORED2
87 EE_HURT2
88 EE_SELECT_COMMON7
89 EE_DAMAGE2
90 EE_DAMAGE3
91 EE_DYING2
92 EE_REACT_TO_DIE_GENERAL2
